"sample_id","total_counts","detected_genes"
"TCGA-AO-A126-01A-11R-A10J-07",58547892,28003
"TCGA-AO-A128-01A-11R-A10J-07",72931280,30101
"TCGA-AO-A129-01A-21R-A10J-07",55203612,30119
"TCGA-AO-A12A-01A-21R-A115-07",56843889,30820
"TCGA-AO-A12B-01A-11R-A10J-07",48061363,26638
"TCGA-AO-A12C-01A-11R-A10J-07",54274759,29069
"TCGA-AO-A12D-01A-11R-A115-07",50450656,29452
"TCGA-AO-A12E-01A-11R-A10J-07",73802012,30254
"TCGA-AO-A12F-01A-11R-A115-07",63278838,29442
"TCGA-AO-A12G-01A-11R-A10J-07",61067322,28041
"TCGA-AO-A12H-01A-11R-A115-07",69089345,28875
"TCGA-AO-A1KO-01A-31R-A13Q-07",71662727,30578
"TCGA-AO-A1KP-01A-11R-A13Q-07",65063762,30352
"TCGA-AO-A1KR-01A-12R-A144-07",38569023,27015
"TCGA-AO-A1KS-01A-11R-A13Q-07",66050274,30331
"TCGA-AO-A1KT-01A-11R-A13Q-07",69554169,29738
"TCGA-AQ-A04H-01B-11R-A10J-07",68748910,28919
"TCGA-AQ-A04J-01A-02R-A034-07",70237272,31533
"TCGA-AQ-A04L-01B-21R-A10J-07",58912620,28823
"TCGA-AQ-A0Y5-01A-11R-A14M-07",63982791,29504
"TCGA-AQ-A1H2-01A-11R-A13Q-07",75684088,28862
"TCGA-AQ-A1H3-01A-31R-A13Q-07",71093360,30548
"TCGA-AQ-A54N-01A-11R-A266-07",31434435,25449
"TCGA-AQ-A7U7-01A-22R-A352-07",51737777,31131
"TCGA-AR-A0TP-01A-11R-A084-07",60676259,29315
"TCGA-AR-A0TQ-01A-11R-A084-07",76735073,30151
"TCGA-AR-A0TR-01A-11R-A084-07",68961598,29187
"TCGA-AR-A0TS-01A-11R-A115-07",60124271,30755
"TCGA-AR-A0TT-01A-31R-A084-07",49862835,29522
"TCGA-AR-A0TU-01A-31R-A109-07",59664477,27921
"TCGA-AR-A0TV-01A-21R-A084-07",56865390,28624
"TCGA-AR-A0TW-01A-11R-A084-07",61422724,27129
"TCGA-AR-A0TX-01A-11R-A084-07",61678431,29576
"TCGA-AR-A0TY-01A-12R-A115-07",67646778,29116
"TCGA-AR-A0TZ-01A-12R-A084-07",80646891,29912
"TCGA-AR-A0U0-01A-11R-A109-07",50594359,27968
"TCGA-AR-A0U2-01A-11R-A109-07",60874125,29776
"TCGA-AR-A0U3-01A-11R-A109-07",34731530,28165
"TCGA-AR-A0U4-01A-11R-A109-07",57120904,28838
"TCGA-AR-A1AH-01A-11R-A12D-07",57816307,29120
"TCGA-AR-A1AI-01A-11R-A12P-07",60015020,29023
"TCGA-AR-A1AJ-01A-21R-A12P-07",50726326,29907
"TCGA-AR-A1AK-01A-21R-A12P-07",48043196,30457
"TCGA-AR-A1AL-01A-21R-A12P-07",58784027,30695
"TCGA-AR-A1AM-01A-41R-A22K-07",54288221,30922
"TCGA-AR-A1AN-01A-11R-A12P-07",62486771,28720
"TCGA-AR-A1AO-01A-11R-A12P-07",67070937,30636
"TCGA-AR-A1AP-01A-11R-A12P-07",44645971,28867
"TCGA-AR-A1AQ-01A-11R-A12P-07",43502322,28303
"TCGA-AR-A1AR-01A-31R-A137-07",80617249,29974
"TCGA-AR-A1AS-01A-11R-A12P-07",43416454,26872
"TCGA-AR-A1AT-01A-11R-A12P-07",41613769,26728
"TCGA-AR-A1AU-01A-11R-A12P-07",56684502,30120
"TCGA-AR-A1AW-01A-21R-A12P-07",57742918,30406
"TCGA-AR-A1AX-01A-11R-A12P-07",55392362,30709
"TCGA-AR-A1AY-01A-21R-A12P-07",54125315,29229
"TCGA-AR-A24H-01A-11R-A169-07",81116641,30431
"TCGA-AR-A24K-01A-11R-A169-07",72284641,29760
"TCGA-AR-A24L-01A-11R-A169-07",81820727,30870
"TCGA-AR-A24M-01A-11R-A169-07",81271706,30035
"TCGA-AR-A24N-01A-11R-A169-07",72902591,30049
"TCGA-AR-A24O-01A-11R-A169-07",61646734,30987
"TCGA-AR-A24P-01A-11R-A169-07",71789233,30658
"TCGA-AR-A24Q-01A-12R-A169-07",74176401,30015
"TCGA-AR-A24R-01A-11R-A169-07",71030175,30117
"TCGA-AR-A24S-01A-11R-A169-07",72045479,30474
